Concept,X projection,Y projection,Coordinates
product allow,-0.00816136321033,0.0157928621562,0.00838011255952,0.00593204999525,0.000181948028618,-0.0180354703439,-0.000319188413587,-0.00695320637519,-0.0263345689121,-0.000284445482293,0.0389506306843,0.0196609530376,-0.0040649151349,-0.0583135056624,0.0415694038018,0.00945835366944,-0.00768142076598,0.00751776302381,0.0073108317995,0.00539074279552,-0.012494784748,0.00418222673112
forget,0.00727743900536,0.103463426393,0.00163084870912,-0.00706649772814,-0.00303353041708,-0.102901335964,-0.00506546749915,0.00502424517191,0.0152115546592,0.00017900316242,-0.00791872652041,-0.00770801895472,0.00207648098324,0.00567332386506,-0.0065109861195,-0.0023954138468,0.00264947346249,-0.000599862494188,-0.00143428972351,-0.000688985650459,0.00234206353982,0.000507302272372
show,-0.029253032897,0.00289833351377,0.0246099226402,0.0200658168193,0.000931121849053,-0.00304077822761,0.00173662494782,-0.024480116285,0.00607153795337,0.00520335270175,0.0503663435628,0.010613756926,-0.00138370152559,0.0819140204605,-0.0559612409773,-0.0185588373809,-0.00687020434831,0.032708996537,0.022075884845,-0.0161160173635,0.0117847509185,0.00571846654496
i.e student,-0.00419898673022,0.00812536054542,0.00431153234188,0.00305201454354,9.36114884326e-05,-0.00927917293908,-0.000164221083972,-0.00357739516665,-0.0135490239263,-0.00014634599329,0.0200399341583,0.0101154768855,-0.00209138158308,-0.0300020511474,0.0213872818117,0.00486628281626,-0.00395205837975,0.00386785716606,0.00376139192949,0.0027735142869,-0.00642851371782,0.0021517379014
teacher work,-0.0234287321088,0.00133639494219,0.0178622964741,0.0157114604108,0.000239353909735,-0.000408330758131,-5.24619676691e-05,-0.00477484529792,-0.0291172558866,0.000139926779014,-0.0145706923031,-0.00502512545265,0.000302437521278,0.00377611360182,-0.0248385008144,-0.00924204067227,0.00133856630386,0.0153518397939,0.00682328476246,-0.0124648247406,0.0146453510682,-0.000809925631899
presentation provide,-0.018184222263,0.00579067033565,0.0137318500978,0.012676336998,0.000282823485311,-0.00477653615006,-0.00119437904887,-0.00270564186212,-0.0307787897906,0.00070277396694,-0.022598572128,-0.00709233158305,0.00200020978093,0.0316032306014,0.00684211312815,0.00408832247079,-0.00476953303769,-0.0138029887311,0.0192413403596,0.00234228483981,-0.00395483957689,0.00174397666346
job much,0.00697523838482,0.0963745722346,-0.000176492293744,-0.00607584822904,-0.00062294869093,-0.0954717883678,-0.00627535554852,0.00983517978934,0.0126505107935,0.000284482178467,-0.00814270591399,-0.00185507110314,-2.62094849536e-05,0.0050120632142,-0.00633646595829,-0.00159791699623,0.000896070105564,-0.000165942247151,-0.000537074449872,-0.000945955399762,0.001971775645,-0.000163965378936
camatsia,-0.0716937444515,-0.00204662984213,0.0499829649277,0.0479493764739,0.0006772228922,0.00665954996713,-0.00586958108283,0.0215867892548,0.0517008525091,0.00134897948918,-0.0113894611634,-0.00178976816396,-0.000111688220296,-0.0131717445503,-0.00362207819949,1.94712505709e-05,0.00159863571191,-0.00157546433226,-0.0109311851636,0.00357496327349,-0.00249493431674,-0.000554537631001
go,-0.0177527513533,0.00334881202533,0.0171619822192,0.0109928528591,0.000409421710704,-0.00362610341077,0.00333323446056,-0.0170448422457,-0.0129897570937,-0.00104385218912,-0.0236973707508,-0.0140777170175,0.00360612897678,0.0154908942684,0.0198874797665,0.00752881252695,0.00225704165458,-0.0153264706341,0.00252792929383,0.00550450630911,-0.00780965794859,-0.00114847796287
user6_after.txt,-0.0579493911612,0.112136505025,0.0595026110432,0.042120253284,0.00129191376608,-0.128060043255,-0.00226638292603,-0.0493709280761,-0.186987418109,-0.00201969231023,0.276567195373,0.139601709765,-0.0288627464699,-0.414052415328,0.295161675711,0.0671586133842,-0.0545415814944,0.0533795370819,0.0519102312621,0.038276725941,-0.0887186552264,0.0296957121648
camatsia record,-0.0716937444515,-0.00204662984213,0.0499829649277,0.0479493764739,0.0006772228922,0.00665954996713,-0.00586958108283,0.0215867892548,0.0517008525091,0.00134897948918,-0.0113894611634,-0.00178976816396,-0.000111688220296,-0.0131717445503,-0.00362207819949,1.94712505709e-05,0.00159863571191,-0.00157546433226,-0.0109311851636,0.00357496327349,-0.00249493431674,-0.000554537631001
slide presentation,-0.018184222263,0.00579067033565,0.0137318500978,0.012676336998,0.000282823485311,-0.00477653615006,-0.00119437904887,-0.00270564186212,-0.0307787897906,0.00070277396694,-0.022598572128,-0.00709233158305,0.00200020978093,0.0316032306014,0.00684211312815,0.00408832247079,-0.00476953303769,-0.0138029887311,0.0192413403596,0.00234228483981,-0.00395483957689,0.00174397666346
sale organization,-0.00697523838482,-0.0963745722346,0.000176492293744,0.00607584822904,0.00062294869093,0.0954717883678,0.00627535554852,-0.00983517978934,-0.0126505107935,-0.000284482178467,0.00814270591399,0.00185507110314,2.62094849536e-05,-0.0050120632142,0.00633646595829,0.00159791699623,-0.000896070105564,0.000165942247151,0.000537074449872,0.000945955399762,-0.001971775645,0.000163965378936
major detail,-0.018184222263,0.00579067033565,0.0137318500978,0.012676336998,0.000282823485311,-0.00477653615006,-0.00119437904887,-0.00270564186212,-0.0307787897906,0.00070277396694,-0.022598572128,-0.00709233158305,0.00200020978093,0.0316032306014,0.00684211312815,0.00408832247079,-0.00476953303769,-0.0138029887311,0.0192413403596,0.00234228483981,-0.00395483957689,0.00174397666346
